1;ALEMANIA;8061099;89215;44575;KN
2;ALEMANIA;74112900;94262.08;21478;KN
3;ALEMANIA;8061059;140663.86;102297.5;KN
4;ALEMANIA;76129000;4794.38;42240;KN
5;ALEMANIA;8062010;89325;41000;KN
6;ALEMANIA;10051010;761840.88;217278.6;KN
7;ALEMANIA;3049943;573299.24;88074.6;KN
8;ALEMANIA;3031410;109980.27;46249.5;KN
9;ALEMANIA;22042149;945.49;150;LT
10;ALEMANIA;90021900;5038.05;1.039;KN
11;ALEMANIA;85285111;5329.86;4;U
12;ALEMANIA;85076000;0.01;1;U
13;ALEMANIA;90158000;13628.62;1;U
14;ALEMANIA;16055300;864797.6;262801.8;KN
15;ALEMANIA;9109900;8279.71;1300;KN
16;ALEMANIA;90308900;3272.87;2;U
17;ALEMANIA;8134039;10461.94;500;KN
18;ALEMANIA;28369100;640799.15;160300;KN
19;ALEMANIA;15091091;28679;3485.3848;KN
20;ALEMANIA;28257010;1264850.4;85120;KN
21;ALEMANIA;90318000;950.3;3;U
22;ALEMANIA;39232990;227.14;2.5918;KN
23;ALEMANIA;22042161;401471.18;148782;LT
24;ALEMANIA;22042164;34153.33;5206.5;LT
25;ALEMANIA;8061019;1009549.33;670249.5;KN
26;ALEMANIA;12119020;154650.02;35820;KN
27;ALEMANIA;12099139;337286.08;113948;KN
28;ALEMANIA;2032930;702113.58;134585.92;KN
29;ALEMANIA;22042165;2423.29;720;LT
30;ALEMANIA;22042132;2402.04;225;LT
31;ALEMANIA;7123110;253290;12440;KN
32;ALEMANIA;12093090;806689.26;297.722;KN
33;ALEMANIA;12099124;2857.9;35.8;KN
34;ALEMANIA;85371000;3443.94;2;KN
35;ALEMANIA;90275000;1849.77;1;U
36;ALEMANIA;12092910;4020.44;6000;KN
37;ALEMANIA;12119082;423917.88;105075;KN
38;ALEMANIA;12119089;90842;20000;KN
39;ALEMANIA;26030000;28000348.05;20206810;KN
40;ALEMANIA;15161011;1630762.35;83220;KN
41;ALEMANIA;22042199;85107.49;15660;LT
42;ALEMANIA;42021210;170.36;1;U
43;ALEMANIA;2072790;332818.21;129600;KN
44;ALEMANIA;90328900;2529.25;1;U
45;ALEMANIA;84718090;2602.75;2;U
46;ALEMANIA;85013220;8000;1;U
47;ALEMANIA;85439000;12334.31;23.7154;KN
48;ALEMANIA;8112090;439440;138000;KN
49;ALEMANIA;44111400;88913.33;148287;KN
50;ALEMANIA;44123910;605351.36;1830.914;MCUB
51;ALEMANIA;8134041;12772.34;302.4;KN
52;ALEMANIA;8061079;215194.65;125832.5;KN
53;ALEMANIA;22042142;148318.89;37693.5;LT
54;ALEMANIA;22042168;624752.38;235993.5;LT
55;ALEMANIA;22042999;207492.12;240000;LT
56;ALEMANIA;82041100;22.71;5.1837;KN
57;ALEMANIA;8132090;244640;58480;KN
58;ALEMANIA;22042162;90660.69;28440;LT
59;ALEMANIA;84213110;6445.43;1360;U
60;ALEMANIA;2013000;412693.17;53196.67;KN
61;ALEMANIA;22042167;19877.35;3870;LT
62;ALEMANIA;8104029;123569.4;14880;KN
63;ALEMANIA;73089000;27665.35;1075;KN
64;ALEMANIA;63062290;6563.38;207.6923;KN
65;ALEMANIA;84219100;823.37;25;KN
66;ALEMANIA;85176210;778.71;2;U
67;ALEMANIA;90138000;24557.22;1;U
68;ALEMANIA;81129200;243041.7;50;KN
69;ALEMANIA;84143090;7473.14;1;U
70;ALEMANIA;85365000;807.25;9.5923;KN
71;ALEMANIA;7131010;3691.09;13000;KN
72;ALEMANIA;8134020;177300;42000;KN
73;ALEMANIA;47032910;3243993.15;5997841;KN
74;ALEMANIA;22042141;194710.74;62896.5;LT
75;ALEMANIA;85444200;57.77;46.9993;KN
76;ALEMANIA;82073000;601.94;12.9591;KN
77;ALEMANIA;2071411;570820.11;158400;KN
78;ALEMANIA;28332500;85392;48000;KN
79;ALEMANIA;7108049;84111.3;32000;KN
80;ALEMANIA;81019700;45628.73;2000;KN
81;ALEMANIA;22042152;7000;1575;LT
82;ALEMANIA;82055100;283.94;11.6438;KN
83;ALEMANIA;49111010;1022.14;69.8626;KN
84;ALEMANIA;90189080;112272.73;36;U
85;ALEMANIA;84137000;2839.3;1;U
86;ALEMANIA;84136000;2058.86;1;U
87;ALEMANIA;22042159;2336.4;247.5;LT
88;ALEMANIA;8093010;14962.5;17100;KN
89;ALEMANIA;22089090;139428.9;25000;LT
90;ALEMANIA;39202010;121101.01;22251.12;KN
91;ALEMANIA;87084030;678.24;249;KN
92;ALEMANIA;84828000;320.05;5;U
93;ALEMANIA;90181300;2898.05;1;U
94;ALEMANIA;21069090;1793.3;227;KN
95;ALEMANIA;85312000;2462.51;1;U
96;ALEMANIA;90181900;4060.68;3;U
97;ALEMANIA;85045000;0.01;1;U
98;ALEMANIA;7133310;22560.01;46.3;KN
99;ALEMANIA;3049944;414426.88;88230;KN
100;ALEMANIA;8134051;12231.71;302.4;KN
101;ALEMANIA;8119019;46602.4;24004;KN
102;ALEMANIA;20089990;85239.67;7597.8;KN
103;ALEMANIA;73072900;381.6;41.4695;KN
104;ALEMANIA;82055900;136.29;5.1836;KN
105;ALEMANIA;84513000;283.93;1;U
106;ALEMANIA;8112029;820813.67;248033.8;KN
107;ALEMANIA;22042148;64187.73;24304.5;LT
108;ALEMANIA;2109900;61856.8;18000;KN
109;ALEMANIA;8094019;18488.2;18173.4;KN
110;ALEMANIA;8061039;84172.32;73180.8;KN
111;ALEMANIA;3048200;13671.54;2750;KN
112;ALEMANIA;8105090;130705.95;15664.5;KN
113;ALEMANIA;90184900;52405;1;U
114;ALEMANIA;90229090;47209.6;250.8076;KN
115;ALEMANIA;85366900;4199.3;9.9692;KN
116;ALEMANIA;84213990;8.56;1;U
